"","Unnamed..0","Proposal.Number","Project.Name","Project.Sector","Date.of.Submission","Submitted.by.Proponent","Query.for.Shortcoming.if.any..by.SEIAA","Resubmission.of.Proposal.by.Proponent.1","Accepted.by.SEIAA.and.forwarded.to.SEAC","Query.for.Shortcoming.if.any..by.SEAC","Resubmission.of.Proposal.by.Proponent.2","Accepted.by.SEAC","Forwarded.to.SEIAA.for.EC","EC.Letter.Uploaded.On.EC.Granted","Status"
"84",62,"SIA/OR/MIN/59702/2021","Krushnachandrapur stone quarry No. 5 over 5.63 Ac. or 2.278 Ha. located in Village: Krushnachandrapur, Tahasil: Banarpal, Dist: Angul (Under Cluster approach of Krushnachandrapur building stone cluster, area 17.18 Ha. or 42.44 Acres)","Non-Coal Mining","22 Jan 2022","22/01/2022","","","29/01/2022","","","03/02/2022","04/04/2022","02/06/2022","EC Granted"
"85",62,"SIA/OR/MIN/59702/2021","Krushnachandrapur stone quarry No. 5 over 5.63 Ac. or 2.278 Ha. located in Village: Krushnachandrapur, Tahasil: Banarpal, Dist: Angul (Under Cluster approach of Krushnachandrapur building stone cluster, area 17.18 Ha. or 42.44 Acres)","Non-Coal Mining","22 Jan 2022","22/01/2022","","","29/01/2022","","","03/02/2022","04/04/2022","02/06/2022","EC Granted"
"86",62,"SIA/OR/MIN/59702/2021","Krushnachandrapur stone quarry No. 5 over 5.63 Ac. or 2.278 Ha. located in Village: Krushnachandrapur, Tahasil: Banarpal, Dist: Angul (Under Cluster approach of Krushnachandrapur building stone cluster, area 17.18 Ha. or 42.44 Acres)","Non-Coal Mining","22 Jan 2022","22/01/2022","","","29/01/2022","","","03/02/2022","04/04/2022","02/06/2022","EC Granted"
"87",62,"SIA/OR/MIN/59702/2021","Krushnachandrapur stone quarry No. 5 over 5.63 Ac. or 2.278 Ha. located in Village: Krushnachandrapur, Tahasil: Banarpal, Dist: Angul (Under Cluster approach of Krushnachandrapur building stone cluster, area 17.18 Ha. or 42.44 Acres)","Non-Coal Mining","22 Jan 2022","22/01/2022","","","29/01/2022","","","03/02/2022","04/04/2022","02/06/2022","EC Granted"
"88",62,"SIA/OR/MIN/59702/2021","Krushnachandrapur stone quarry No. 5 over 5.63 Ac. or 2.278 Ha. located in Village: Krushnachandrapur, Tahasil: Banarpal, Dist: Angul (Under Cluster approach of Krushnachandrapur building stone cluster, area 17.18 Ha. or 42.44 Acres)","Non-Coal Mining","22 Jan 2022","22/01/2022","","","29/01/2022","","","03/02/2022","04/04/2022","02/06/2022","EC Granted"
"89",63,"SIA/OR/MIN/281241/2022","PROPOSAL FOR FRESH EC OF JANIBILLI STONE QUARRY OVER AN AREA OF 2.780 ACRES OR 1.125 HECTARES AT VILLAGE JANIBILLI UNDER DHARAKOTE TAHASIL OF GANJAM DISTRICT, ODISHA","Non-Coal Mining","02 Jul 2022","02/07/2022","","","05/07/2022","","","22/07/2022","","17/08/2022","EC Granted"
"90",64,"SIA/OR/MIN/229965/2021","Dakadhola Sand Quarry","Non-Coal Mining","21 Jan 2022","18/09/2021","28/01/2022","21/01/2022","","","","","","","WithdrawEC"
"91",65,"SIA/OR/MIN/238244/2021","Tangisahi Nuagaon Stone Quarry over an area of 3.77 Acres or 1.526 Hectares in Village- Tangisahi Nuagaon under Khandapada Tahasil of Nayagarh District of Odisha","Non-Coal Mining","12 Nov 2021","12/11/2021","","","14/11/2021","","","01/01/2022","11/01/2022","25/01/2022","EC Granted"
"92",66,"SIA/OR/MIS/230203/2021","Residential Colony Project at Mouza-Chandrasekharpur, Khurda, Bhubaneswar, Odisha","INFRA-2","29 Sep 2021","20/09/2021","28/09/2021","29/09/2021","","","","","","","WithdrawEC"
"93",67,"SIA/OR/MIN/250774/2022","Proposal for EC Kutrichapar Stone Quarry over an area 1.61Acre or 0.651Hectare in Kutrichapar village of Jharigam Tahasil in Nabarangpur district, Odisha","Non-Coal Mining","25 May 2022","12/01/2022","27/01/2022","25/05/2022","27/01/2022","","","22/07/2022","","","Rejection Letter Granted"
"94",68,"SIA/OR/MIN/250500/2022","Sapsil  Stone Quarry over an area of 4.00 acres or 1.619 hectares bearing Khata no. 76, Plot no. 304 in Sapsil village of Koraput Tahasil,District-Koraput,State Odisha","Non-Coal Mining","25 May 2022","07/01/2022","30/06/2022","25/05/2022","","","","","","","Query raised by SEIAA and pending at PP"
"95",69,"SIA/OR/IND/73998/2010","Proposed Expansion of Existing FRP plant from 1.35 Lac TPA [Hot Rolled Coil (HRC) & Cold Rolled Coil (CRC)] to 5.85 Lac TPA Hot Rolled Coil (HRC) including existing 1.35 Lac TPA Cold Rolled Coil (CRC) at Villages Jamda and Jamda (Nimpali), Tehsil Hirakud, District Sambalpur (Odisha)","Industrial Projects - 1","04 Apr 2022","04/04/2022","","","06/04/2022","","","07/04/2022","","04/07/2022","EC Granted"
"96",70,"SIA/OR/MIN/272004/2022","PROPOSAL FOR FRESH EC OF GHODADIAN ROAD METAL QUARRY OVER AN AREA OF 5.62 ACRES OR 2.274 HECTARES AT VILLAGE GHODADIAN UNDER ODAPADA TAHASIL OF DHENKANAL DISTRICT ODISHA","Non-Coal Mining","09 Jul 2022","10/05/2022","07/06/2022","09/07/2022","11/07/2022","","","22/07/2022","","22/08/2022","EC Granted"
"97",71,"SIA/OR/MIN/255270/2022","For the grant of EC of Parjang Stone Quarry over an area of 2.436 acres/ 0.986 hacters in village Parjang under Parjang Tahasil of Dhenkanal District, Odisha.","Non-Coal Mining","08 Feb 2022","08/02/2022","","","11/03/2022","","","11/04/2022","19/04/2022","06/05/2022","EC Granted"
"98",72,"SIA/OR/MIN/273575/2022","Baradiha Murrum Quarry Over an area of 2.47 Acre or 0.999 Hectares in village Baradiha under Jaleswar Tahasil of Balasore District of Odisha.","Non-Coal Mining","18 May 2022","18/05/2022","","","19/05/2022","","","20/05/2022","","01/06/2022","EC Granted"
"99",73,"SIA/OR/MIN/273852/2022","Bigapadar Sand Source over an area of 9.489 acre or 3.840 hectare in village Bigapadar under Khondamals Tahasil of Kandhamal District of Odisha.","Non-Coal Mining","19 May 2022","19/05/2022","","","20/06/2022","","","23/06/2022","","30/07/2022","EC Granted"
"100",74,"SIA/OR/MIN/226919/2021","DHANIA NEW STONE QUARRY NORTH SIDE TA","Non-Coal Mining","09 Sep 2021","30/08/2021","06/09/2021","09/09/2021","02/11/2021","","","05/11/2021","05/11/2021","19/11/2021","EC Granted"
"101",75,"SIA/OR/MIN/227065/2021","DHANIA NEW BUILDING STONE QUARRY(F)","Non-Coal Mining","07 Sep 2021","31/08/2021","02/09/2021","07/09/2021","02/11/2021","","","05/11/2021","05/11/2021","19/11/2021","EC Granted"
"102",76,"SIA/OR/MIN/225487/2021","BABEGHATI-I STONE QUARRY","Non-Coal Mining","08 Sep 2021","22/08/2021","06/09/2021","08/09/2021","02/11/2021","","","09/11/2021","29/11/2021","30/12/2021","EC Granted"
"103",77,"SIA/OR/MIN/249676/2022","Uanla Sand Quarry over an area of 12.355 acres or 5.00 Ha bearing khata No. 81, Plot No. 221/A, 224/A in the village Uanla,Tahasil Harabhanga, District Boudh, State Odisha","Non-Coal Mining","07 Jul 2022","04/01/2022","20/01/2022","07/07/2022","08/07/2022","","","22/07/2022","","22/08/2022","EC Granted"
"104",78,"SIA/OR/MIN/258199/2022","DANKARI BLACK STONE QUARRY NO 712 OVER 12.50 ACRES OR 5.058 HECT IN VILLAGE DANKARI UNDER DHARMASALA TAHSIL OF JAJPUR DISTRICT ODISHA.","Non-Coal Mining","05 Mar 2022","28/02/2022","01/03/2022","05/03/2022","17/03/2022","","","29/03/2022","04/04/2022","06/05/2022","EC Granted"
"105",79,"SIA/OR/MIN/257165/2022","SARGUNAMUNDA SAND BED-A OVER AN AREA OF 10.00 ACRES OR 4.048  HECTARES IN VILLAGE SARGUNAMUNDA UNDER TITTLAGARH TAHASIL IN BOLANGIR DISTRICT ODISHA","Non-Coal Mining","21 Mar 2022","21/02/2022","16/03/2022","21/03/2022","05/04/2022","","","13/05/2022","","03/06/2022","EC Granted"
"106",80,"SIA/OR/MIN/279356/2022","NEW PROPOSAL FOR ENVIRONMENT CLEARANCE FOR KANAKTORA SAND BED KELO RIVER OVER AN AREA OF 4.86 HECTARE OR 12.00 ACRES IN VILLAGE KANAKTORA UNDER LAKHANPUR TAHASIL AND DISTRICT OF JHARSUGUDA  ODISHA","Non-Coal Mining","23 Jun 2022","23/06/2022","04/07/2022","","","","","","","","Delisted"
"107",81,"SIA/OR/MIN/277416/2022","Kokariguda Stone Quarry over an area of 10.00 Acers or 4.046 Ha having Khata no. 109, Plot No. 543 in the village Kokariguda, Tahasil- Semiliguda, District- Koraput, State Odisha.","Non-Coal Mining","09 Jun 2022","09/06/2022","","","21/06/2022","","","23/06/2022","","19/07/2022","EC Granted"
"108",82,"SIA/OR/IND/29765/2018","Proposed Cement Grinding Unit capacity 2X1.0 MTPA (PPC, PSC, OPC & GGBS) at Kalinganagar Industrial Complex, District- Jajpur, Odisha of M/s Chettinad Cement Corporation Private Limited","Industrial Projects - 1","27 Sep 2019","27/09/2019","","","06/11/2019","","","14/11/2019","15/11/2021","22/12/2021","EC Granted"
"109",83,"SIA/OR/MIN/245562/2021","Mania Stone Quarry-D over an area of 2.00 Acers or 0.809 Ha having Khata No. 65, Plot No. 184/D in the village Mania, Tahasil- Semiliguda, District- Koraput, State Odisha.","Non-Coal Mining","19 Jul 2022","17/12/2021","19/07/2022","19/07/2022","20/07/2022","","","25/07/2022","","22/08/2022","EC Granted"
"110",84,"SIA/OR/MIN/242468/2021","Nischintapur Stone Quarry - I over an area of 2.13 Acres / 0.862 Hectares in village - Nischintapur , Keonjhar Tahasil, Dist. - Keonjhar","Non-Coal Mining","14 Feb 2022","05/12/2021","08/12/2021","14/02/2022","15/03/2022","","","11/04/2022","19/04/2022","11/05/2022","EC Granted"
"111",85,"SIA/OR/MIS/262203/2022","Proposed Construction of Residential Building Project (S1+S2+S3+18) of M/s Motwani Constructions Pvt. Ltd. At- Mouza- Koradakanta and Jharpada,Tahasil-Bhubaneswar, Dist-Khordha","INFRA-2","23 Mar 2022","18/03/2022","19/03/2022","23/03/2022","26/03/2022","","","07/04/2022","","13/04/2023","EC Granted"
"112",86,"SIA/OR/MIN/271728/2022","Langalasila & Mayurdar Stone Quarry Over an area of 3.99 Acre or 1.614 Hectares in village Langalasila & Mayurdar under Kusumi,Badampahar Tahasil of Mayurbhanj District of Odisha.","Non-Coal Mining","07 May 2022","07/05/2022","","","23/05/2022","","","03/06/2022","","18/07/2022","EC Granted"
"113",87,"SIA/OR/MIN/271942/2022","PROPOSAL FOR GRANT OF EC OF DANKARI BLACK STONE QUARRY NO 1 BY 4 OVER 3.23 HA OR 8.00 AC IN VILLAGE DANKARI DHARMASALA TAHASIL OF JAJPUR DISTRICT ODISHA","Non-Coal Mining","09 May 2022","09/05/2022","","","12/05/2022","","","19/05/2022","","03/06/2022","EC Granted"
"114",88,"SIA/OR/MIN/250477/2022","Dolajodi Stone Quarry Over an area of 4.84 Acre or 1.96 Hectares in village Dolajodi under Tiring Tahasil of Mayurbhanj District of Odisha.","Non-Coal Mining","07 Jan 2022","07/01/2022","","","26/01/2022","","","22/02/2022","05/03/2022","31/03/2022","EC Granted"
"115",89,"SIA/OR/MIN/251714/2022","Taradipal Brahmani Nadi Sand","Non-Coal Mining","14 Feb 2022","15/01/2022","23/01/2022","14/02/2022","15/03/2022","","","11/04/2022","19/04/2022","11/05/2022","EC Granted"
"116",90,"SIA/OR/IND2/213411/2021","M/s. Bharat Petroleum Corporation Limited (BPCL)","Industrial Projects - 2","23 Jun 2021","31/05/2021","03/06/2021","23/06/2021","","","","","","","Delisted"
"117",91,"SIA/OR/MIS/235383/2021","Residential Colony Project","INFRA-2","26 Oct 2021","22/10/2021","26/10/2021","26/10/2021","02/11/2021","","","03/11/2021","14/02/2022","07/05/2022","EC Granted"
"118",92,"SIA/OR/MIN/256331/2022","Proposal for grant of EC of TENGANABASA SAND QUARRY over an area 12.35 acre or 4.997 hec in Tenganabasa village of Komna tahasil in Nuapada dist. Odisha","Non-Coal Mining","12 Feb 2022","12/02/2022","","","15/03/2022","","","11/04/2022","19/04/2022","11/05/2022","EC Granted"
"119",93,"SIA/OR/MIN/255419/2022","Proposal for grant of EC of TETERKELA SAND BED over an area 11.52 ac or 4.662 hect  in Teterkela village of Biramitrapur tahasil in Sundargarh district, Odisha","Non-Coal Mining","07 Feb 2022","07/02/2022","","","19/02/2022","","","14/03/2022","24/03/2022","03/06/2022","EC Granted"
"120",94,"SIA/OR/MIN/256709/2022","NEW PROPOSAL FOR GRANT OF EC OF BADAMASINGAM SAND QUARRY OVER 1.30 HA. OR 3.20ACRES  IN VILLAGE BADAMASINGAM UNDER NABARANGPUR  TAHASIL OF NABARANGPUR DISTRICT, ODISHA.","Non-Coal Mining","10 May 2022","15/02/2022","15/03/2022","","","","","","","","WithdrawEC"
"121",95,"SIA/OR/MIN/256859/2022","NARAHARIPUR ROAD METAL QUARRY OVER AN AREA OF 0.92 HECTARES IN VILLAGE NARAHARIPUR UNDER ODAPADA TAHASIL  OF DHENKANAL TAHASIL SUBMITTED UNDER CLUSTER APPROACH  WITH CONSISTING OF 3 STONE QUARRIES , TOTAL CLUSTER AREA  3.242 HECTARES","Non-Coal Mining","16 Feb 2022","16/02/2022","","","19/02/2022","","","14/03/2022","24/03/2022","18/07/2022","EC Granted"
"122",96,"SIA/OR/MIN/270401/2022","Jyotipur Sand Quarry over an area of 8.00 ac or 3.24 ha in village Jyotipur of Champua Tahasil of Keonjhar district, Odisha.","Non-Coal Mining","30 Apr 2022","30/04/2022","","","22/05/2022","","","03/06/2022","","18/07/2022","EC Granted"
"123",97,"SIA/OR/MIN/64155/2021","New Proposed project of Basupali Stone Quarry- 1 with proposed excavation of 4095 CuM/Year of stone, of Tahasildar Balangir having an area of 1.78 ha,located at Khata no. 14, Plot no. 79 Kisam Kudar, Village: Basupali, Tahasil: Balangir,Dist: Balangir, Odisha","Non-Coal Mining","19 Jul 2022","08/06/2022","","","22/07/2022","","","08/08/2022","","","WithdrawEC"
"124",97,"SIA/OR/MIN/64155/2021","New Proposed project of Basupali Stone Quarry- 1 with proposed excavation of 4095 CuM/Year of stone, of Tahasildar Balangir having an area of 1.78 ha,located at Khata no. 14, Plot no. 79 Kisam Kudar, Village: Basupali, Tahasil: Balangir,Dist: Balangir, Odisha","Non-Coal Mining","19 Jul 2022","08/06/2022","","","22/07/2022","","","08/08/2022","","","WithdrawEC"
"125",97,"SIA/OR/MIN/64155/2021","New Proposed project of Basupali Stone Quarry- 1 with proposed excavation of 4095 CuM/Year of stone, of Tahasildar Balangir having an area of 1.78 ha,located at Khata no. 14, Plot no. 79 Kisam Kudar, Village: Basupali, Tahasil: Balangir,Dist: Balangir, Odisha","Non-Coal Mining","19 Jul 2022","08/06/2022","","","22/07/2022","","","08/08/2022","","","WithdrawEC"
"126",97,"SIA/OR/MIN/64155/2021","New Proposed project of Basupali Stone Quarry- 1 with proposed excavation of 4095 CuM/Year of stone, of Tahasildar Balangir having an area of 1.78 ha,located at Khata no. 14, Plot no. 79 Kisam Kudar, Village: Basupali, Tahasil: Balangir,Dist: Balangir, Odisha","Non-Coal Mining","19 Jul 2022","08/06/2022","","","22/07/2022","","","08/08/2022","","","Rejection Letter Granted"
"127",97,"SIA/OR/MIN/64155/2021","New Proposed project of Basupali Stone Quarry- 1 with proposed excavation of 4095 CuM/Year of stone, of Tahasildar Balangir having an area of 1.78 ha,located at Khata no. 14, Plot no. 79 Kisam Kudar, Village: Basupali, Tahasil: Balangir,Dist: Balangir, Odisha","Non-Coal Mining","19 Jul 2022","08/06/2022","","","22/07/2022","","","08/08/2022","","","WithdrawEC"
"128",97,"SIA/OR/MIN/64155/2021","New Proposed project of Basupali Stone Quarry- 1 with proposed excavation of 4095 CuM/Year of stone, of Tahasildar Balangir having an area of 1.78 ha,located at Khata no. 14, Plot no. 79 Kisam Kudar, Village: Basupali, Tahasil: Balangir,Dist: Balangir, Odisha","Non-Coal Mining","19 Jul 2022","08/06/2022","","","22/07/2022","","","08/08/2022","","","WithdrawEC"
"129",97,"SIA/OR/MIN/64155/2021","New Proposed project of Basupali Stone Quarry- 1 with proposed excavation of 4095 CuM/Year of stone, of Tahasildar Balangir having an area of 1.78 ha,located at Khata no. 14, Plot no. 79 Kisam Kudar, Village: Basupali, Tahasil: Balangir,Dist: Balangir, Odisha","Non-Coal Mining","19 Jul 2022","08/06/2022","","","22/07/2022","","","08/08/2022","","","WithdrawEC"
"130",98,"SIA/OR/MIS/116748/2019","Proposed Construction of Teaching Hospital for the new Govt. Medical college at Baripada, Odisha","INFRA-2","04 Jan 2020","04/01/2020","11/09/2019","04/01/2020","28/01/2020","","","31/01/2020","27/02/2020","06/08/2020","EC Granted"
"131",99,"SIA/OR/MIN/71435/2020","Proposal for EC for Kulei Sand Quarry over lease area of 50 Acres/20.234 Ha. at Kulei, Tahasil- Parjang, District- Dhenkanal of Tahasildar, Parjang.","Non-Coal Mining","08 Aug 2022","21/07/2022","29/07/2022","08/08/2022","16/08/2022","","","22/08/2022","","03/12/2022","EC Granted"
"132",100,"SIA/OR/MIN/253343/2022","Fulguntha II Stone Quarry over an area of 1.92 Acre or 0.777 Hectares in village Fulguntha under Sukruli Tahasil of Mayurbhanj District of Odisha.","Non-Coal Mining","05 Mar 2022","26/01/2022","29/01/2022","05/03/2022","17/03/2022","","","11/04/2022","20/04/2022","11/05/2022","EC Granted"
"133",101,"SIA/OR/MIN/253913/2022","For the grant of EC of Damodarpur Stone Quarry (Khata No-161, Plot No-2, 17) over an area of 2.90 acres or 1.173 hacters in village Damodarpur under Boudh Tahasil of Boudh District, Odisha.","Non-Coal Mining","29 Jan 2022","29/01/2022","","","02/02/2022","","","22/02/2022","06/03/2022","31/03/2022","EC Granted"
"134",102,"SIA/OR/MIN/255184/2022","NEW PROPOSAL FOR GRANT OF EC OF SAMALPUR STONE QUARRY OVER AREA 2.55HA OR 6.30AC IN VILLAGE SAMALPUR UNDER RAIGHAR TAHASIL OF NABARANGPUR DISTRICT, ODISHA","Non-Coal Mining","07 May 2022","05/02/2022","08/02/2022","07/05/2022","10/05/2022","","","20/05/2022","","30/06/2022","EC Granted"
"135",103,"SIA/OR/MIN/227590/2021","KALACHUA NEW BUILDING STONE QUARRY (CHA)","Non-Coal Mining","14 Sep 2021","09/09/2021","09/09/2021","14/09/2021","05/11/2021","","","04/12/2021","04/12/2021","30/12/2021","EC Granted"
"136",104,"SIA/OR/MIN/251390/2022","Proposal for EC Chidupali Sand Bed-B over an area  12.182Acre or 4.930 Hectare in Chidupali village of Malkangiri Tahasil in Malkangiri district, Odisha","Non-Coal Mining","23 Mar 2022","13/01/2022","01/03/2022","23/03/2022","10/04/2022","","","13/05/2022","","07/06/2022","EC Granted"
"137",105,"SIA/OR/MIN/59702/2021","Krushnachandrapur stone quarry No. 4 over 5.63 Ac. or 2.278 Ha. located in Village: Krushnachandrapur, Tahasil: Banarpal, Dist: Angul (Under Cluster approach of Krushnachandrapur building stone cluster, area 17.18 Ha. or 42.44 Acres)","Non-Coal Mining","22 Jan 2022","22/01/2022","","","29/01/2022","","","03/02/2022","04/04/2022","02/06/2022","EC Granted"
"138",105,"SIA/OR/MIN/59702/2021","Krushnachandrapur stone quarry No. 4 over 5.63 Ac. or 2.278 Ha. located in Village: Krushnachandrapur, Tahasil: Banarpal, Dist: Angul (Under Cluster approach of Krushnachandrapur building stone cluster, area 17.18 Ha. or 42.44 Acres)","Non-Coal Mining","22 Jan 2022","22/01/2022","","","29/01/2022","","","03/02/2022","04/04/2022","02/06/2022","EC Granted"
"139",105,"SIA/OR/MIN/59702/2021","Krushnachandrapur stone quarry No. 4 over 5.63 Ac. or 2.278 Ha. located in Village: Krushnachandrapur, Tahasil: Banarpal, Dist: Angul (Under Cluster approach of Krushnachandrapur building stone cluster, area 17.18 Ha. or 42.44 Acres)","Non-Coal Mining","22 Jan 2022","22/01/2022","","","29/01/2022","","","03/02/2022","04/04/2022","02/06/2022","EC Granted"
"140",105,"SIA/OR/MIN/59702/2021","Krushnachandrapur stone quarry No. 4 over 5.63 Ac. or 2.278 Ha. located in Village: Krushnachandrapur, Tahasil: Banarpal, Dist: Angul (Under Cluster approach of Krushnachandrapur building stone cluster, area 17.18 Ha. or 42.44 Acres)","Non-Coal Mining","22 Jan 2022","22/01/2022","","","29/01/2022","","","03/02/2022","04/04/2022","02/06/2022","EC Granted"
"141",105,"SIA/OR/MIN/59702/2021","Krushnachandrapur stone quarry No. 4 over 5.63 Ac. or 2.278 Ha. located in Village: Krushnachandrapur, Tahasil: Banarpal, Dist: Angul (Under Cluster approach of Krushnachandrapur building stone cluster, area 17.18 Ha. or 42.44 Acres)","Non-Coal Mining","22 Jan 2022","22/01/2022","","","29/01/2022","","","03/02/2022","04/04/2022","02/06/2022","EC Granted"
"142",105,"SIA/OR/MIN/59702/2021","Krushnachandrapur stone quarry No. 4 over 5.63 Ac. or 2.278 Ha. located in Village: Krushnachandrapur, Tahasil: Banarpal, Dist: Angul (Under Cluster approach of Krushnachandrapur building stone cluster, area 17.18 Ha. or 42.44 Acres)","Non-Coal Mining","22 Jan 2022","22/01/2022","","","29/01/2022","","","03/02/2022","04/04/2022","02/06/2022","EC Granted"
"143",105,"SIA/OR/MIN/59702/2021","Krushnachandrapur stone quarry No. 4 over 5.63 Ac. or 2.278 Ha. located in Village: Krushnachandrapur, Tahasil: Banarpal, Dist: Angul (Under Cluster approach of Krushnachandrapur building stone cluster, area 17.18 Ha. or 42.44 Acres)","Non-Coal Mining","22 Jan 2022","22/01/2022","","","29/01/2022","","","03/02/2022","04/04/2022","02/06/2022","EC Granted"
